epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,9772.63,2.20913,1.51681,0.88162,0.83946,0.66283,0.72052,0.2323,2.43102,1.4147,0.86928,0.000764,0.000764,0.000764
105,9849.65,2.31162,1.48804,0.87439,0.90704,0.69014,0.72296,0.2517,2.29291,1.31712,0.86308,0.000752,0.000752,0.000752
106,9927.03,2.11342,1.5004,0.92768,0.85286,0.65314,0.67867,0.2175,2.45507,1.36771,0.86653,0.00074,0.00074,0.00074
107,10002.9,2.15338,1.41754,0.86346,0.80896,0.6338,0.62641,0.17324,2.5821,1.43777,0.87143,0.000728,0.000728,0.000728
108,10075.6,2.03325,1.33988,0.83374,0.8104,0.60204,0.64293,0.18945,2.46044,1.47102,0.86841,0.000716,0.000716,0.000716
109,10891.6,2.12882,1.45663,0.92779,0.87848,0.60563,0.68222,0.2311,2.30977,1.39736,0.86411,0.000704,0.000704,0.000704
110,10965.6,2.09251,1.59317,0.98164,0.89071,0.57398,0.66289,0.21167,2.37989,1.52265,0.8694,0.000692,0.000692,0.000692
111,11041.3,2.10085,1.4539,0.85265,0.78589,0.51704,0.58666,0.18588,2.42472,1.87034,0.87208,0.00068,0.00068,0.00068
112,11117.5,2.02386,1.31746,0.89947,0.69771,0.4507,0.48655,0.13033,2.6568,2.03163,0.88447,0.000668,0.000668,0.000668
113,11193.1,1.95561,1.38137,0.89349,0.70956,0.46479,0.49779,0.11467,2.71355,1.7691,0.89007,0.000656,0.000656,0.000656
114,11271.1,2.09065,1.3758,0.98014,0.78059,0.50704,0.53556,0.14571,2.61917,1.55394,0.88642,0.000644,0.000644,0.000644
115,11340.1,2.02673,1.40767,0.86477,0.76113,0.57746,0.5915,0.18258,2.49326,1.4299,0.87974,0.000632,0.000632,0.000632
116,11410.7,2.06129,1.32669,0.84607,0.82559,0.64789,0.66997,0.22447,2.38954,1.35747,0.87115,0.00062,0.00062,0.00062
117,11480.6,1.95041,1.42691,0.85015,0.8294,0.70423,0.74085,0.28633,2.23154,1.25737,0.85935,0.000608,0.000608,0.000608
118,11551.6,2.04041,1.47071,0.89805,0.83429,0.70914,0.7429,0.2805,2.22407,1.27042,0.85911,0.000596,0.000596,0.000596
119,11622.9,2.15377,1.48681,0.86105,0.76721,0.6499,0.68942,0.22293,2.37087,1.32188,0.86912,0.000584,0.000584,0.000584
120,11694.5,2.0785,1.38619,0.84874,0.80253,0.51524,0.60657,0.17233,2.50981,1.48815,0.87617,0.000572,0.000572,0.000572
121,11765.9,2.06034,1.38542,0.9158,0.68362,0.59155,0.62454,0.19358,2.36995,1.5764,0.86921,0.00056,0.00056,0.00056
122,11844.9,1.86573,1.36258,0.86507,0.67654,0.6338,0.64052,0.19855,2.33331,1.60864,0.86681,0.000548,0.000548,0.000548
123,11925.2,2.05931,1.30115,0.85283,0.63847,0.59701,0.58605,0.15064,2.63371,1.65032,0.88091,0.000536,0.000536,0.000536
124,11998.1,1.8738,1.25336,0.79583,0.63381,0.56072,0.54469,0.13395,2.78996,1.60876,0.89041,0.000524,0.000524,0.000524
125,12069.8,1.9699,1.28365,0.87976,0.66065,0.46479,0.50905,0.13115,2.80412,1.54347,0.88914,0.000512,0.000512,0.000512
126,12141.8,2.06146,1.23901,0.83293,0.68298,0.56338,0.55557,0.15271,2.71671,1.52008,0.88271,0.0005,0.0005,0.0005
127,12217.9,1.91222,1.21677,0.84653,0.6885,0.49296,0.50752,0.13135,2.75356,1.60581,0.88389,0.000488,0.000488,0.000488
128,12293.4,1.99986,1.27145,0.89421,0.6715,0.49296,0.50488,0.13213,2.72232,1.6071,0.88273,0.000476,0.000476,0.000476
129,12370.1,2.00614,1.46632,0.93382,0.81982,0.57678,0.64937,0.2045,2.3905,1.42494,0.86618,0.000464,0.000464,0.000464
130,12444.8,1.88796,1.41629,0.85299,0.85322,0.60563,0.68729,0.28027,2.03946,1.25165,0.85259,0.000452,0.000452,0.000452
131,12522.5,1.92727,1.19938,0.8148,0.87537,0.64789,0.7455,0.31176,1.94971,1.22173,0.84955,0.00044,0.00044,0.00044
132,12597.5,1.96969,1.34549,0.82802,0.92868,0.6338,0.75372,0.28848,2.03451,1.29422,0.85161,0.000428,0.000428,0.000428
133,12671.8,1.87451,1.40653,0.81482,0.80196,0.57043,0.65219,0.22121,2.22236,1.41672,0.85903,0.000416,0.000416,0.000416
134,12745.9,2.02146,1.31625,0.88748,0.67267,0.50704,0.57208,0.15611,2.51308,1.55732,0.87174,0.000404,0.000404,0.000404
135,12821.1,2.15001,1.3788,0.84598,0.71194,0.46479,0.52231,0.14206,2.62711,1.56223,0.87675,0.000392,0.000392,0.000392
136,12896.1,1.78632,1.33414,0.906,0.83737,0.50765,0.61616,0.18221,2.41642,1.42753,0.86607,0.00038,0.00038,0.00038
137,12971.2,1.99932,1.44338,0.87826,0.7795,0.53521,0.6409,0.22212,2.2611,1.37602,0.85942,0.000368,0.000368,0.000368
138,13044.9,1.99714,1.46497,0.8903,0.76585,0.49296,0.60107,0.19758,2.35125,1.4569,0.86311,0.000356,0.000356,0.000356
139,13118.5,1.93805,1.23561,0.86198,0.72034,0.54423,0.63128,0.21421,2.29298,1.51752,0.86084,0.000344,0.000344,0.000344
140,13193,1.8775,1.20032,0.7961,0.75459,0.563,0.68161,0.24921,2.15379,1.52612,0.85567,0.000332,0.000332,0.000332
141,13265.9,1.82474,1.43061,0.79287,0.73753,0.59155,0.68003,0.26788,2.06986,1.50973,0.85188,0.00032,0.00032,0.00032
142,13338.8,1.93746,1.44837,0.83702,0.79428,0.64789,0.70652,0.29864,1.95415,1.36988,0.84468,0.000308,0.000308,0.000308
143,13412,1.82232,1.18734,0.88269,0.82883,0.64789,0.70826,0.30242,1.95931,1.29729,0.84133,0.000296,0.000296,0.000296
144,13484.7,1.93264,1.2505,0.8683,0.82871,0.6338,0.69597,0.28484,2.0034,1.30362,0.84454,0.000284,0.000284,0.000284
145,13558.7,1.92801,1.27762,0.85052,0.79122,0.61972,0.66065,0.23921,2.16513,1.3539,0.85272,0.000272,0.000272,0.000272
146,13633.1,1.77959,1.04226,0.856,0.85085,0.53521,0.62585,0.21091,2.31315,1.38689,0.85769,0.00026,0.00026,0.00026
147,13706.9,1.74815,1.39363,0.85099,0.82708,0.5493,0.63922,0.21304,2.31759,1.38085,0.85777,0.000248,0.000248,0.000248
148,13780.6,1.90502,1.28495,0.87928,0.73347,0.60563,0.62021,0.21533,2.3171,1.37637,0.85678,0.000236,0.000236,0.000236
149,13855.5,1.67111,1.03485,0.84371,0.75467,0.60659,0.62274,0.20736,2.34807,1.35986,0.85811,0.000224,0.000224,0.000224
150,13929.9,1.87165,1.15186,0.82763,0.76822,0.61972,0.63094,0.20322,2.34381,1.3364,0.85683,0.000212,0.000212,0.000212
