video_file,full_path,week,site,shift,analysis_success,timestamp
P1000377.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_1/site_4/mid/P1000377.MP4,week_2,site_4,mid,True,2025-07-16T14:10:36.234366
P1000082.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_1/site_4/morning/P1000082.MP4,week_2,site_4,morning,True,2025-07-16T14:10:42.522352
P1000083.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_1/site_4/morning/P1000083.MP4,week_2,site_4,morning,True,2025-07-16T14:10:48.753814
P1000389.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_2/site_1/afternoon/P1000389.MP4,week_2,site_1,afternoon,True,2025-07-16T14:10:54.535879
P1000390.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_2/site_1/afternoon/P1000390.MP4,week_2,site_1,afternoon,True,2025-07-16T14:10:59.928374
P1000385.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_2/site_1/mid/P1000385.MP4,week_2,site_1,mid,True,2025-07-16T14:11:05.935957
._P1000385.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_2/site_1/mid/._P1000385.MP4,week_2,site_1,mid,True,2025-07-16T14:11:07.750168
P1000386.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_2/site_1/mid/P1000386.MP4,week_2,site_1,mid,True,2025-07-16T14:11:13.453707
P1000383.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_2/site_1/morning/P1000383.MP4,week_2,site_1,morning,True,2025-07-16T14:11:19.869118
._P1000383.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_2/site_1/morning/._P1000383.MP4,week_2,site_1,morning,True,2025-07-16T14:11:21.701068
P1000384.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_2/site_1/morning/P1000384.MP4,week_2,site_1,morning,True,2025-07-16T14:11:27.986245
._P1000384.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_2/site_1/morning/._P1000384.MP4,week_2,site_1,morning,True,2025-07-16T14:11:29.811465
P1000100.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_2/site_2/afternoon/P1000100.MP4,week_2,site_2,afternoon,True,2025-07-16T14:11:35.320153
P1000101.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_2/site_2/afternoon/P1000101.MP4,week_2,site_2,afternoon,True,2025-07-16T14:11:40.596739
P1000096.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_2/day_2/site_2/mid/P1000096.MP4,week_2,site_2,mid,True,2025-07-16T14:11:46.139212
